Agents,X_DIM,Y_DIM,TRIAL_NO,REWARD,NORMALIZED_REWARD,DONE_RATIO,STEPS,ACTION_PROB
10,35,35,704,-3223.000000000063,-4.4150684931507715,0.0,585,[0.87883959 0.00665529 0.06143345 0.00853242 0.04453925]
6,30,30,705,-1488.0,-2.303405572755418,0.0,495,[0.91801075 0.00403226 0.05745968 0.00504032 0.01545699]
9,30,30,706,-1825.9999999999752,-2.81355932203386,0.0,497,[0.87594824 0.00825524 0.08679161 0.00937082 0.01963409]
5,40,40,707,-1245.833333333332,-1.547619047619046,0.0,649,[0.89046154 0.00646154 0.08584615 0.00892308 0.00830769]
5,30,30,708,-1437.9166666666556,-2.22932816537466,0.0,492,[0.94807302 0.00567951 0.04137931 0.00486815 0.        ]
6,40,40,709,-2109.25,-2.6169354838709675,0.0,648,[0.8751926  0.00616333 0.08474576 0.00642013 0.02747817]
10,35,35,710,-2950.0000000000305,-4.041095890411,0.0,599,"[9.56000000e-01 4.00000000e-03 3.65000000e-02 2.66666667e-03
 8.33333333e-04]"
6,45,45,711,-2867.000000000032,-3.2358916478555666,0.0,731,[0.90824226 0.0068306  0.0617031  0.00455373 0.01867031]
9,40,40,712,-2248.166666666648,-2.778945199835164,0.0,657,[0.87960149 0.00878082 0.0845998  0.0070922  0.0199257 ]
7,25,25,713,-1724.9999999999818,-3.0423280423280104,0.0,413,[0.84506556 0.0110421  0.09006211 0.01207729 0.04175293]
9,40,40,714,-3015.8333333333517,-3.7278533168521033,0.0,657,[0.87943262 0.00793651 0.06754475 0.00726106 0.03782506]
5,40,40,715,-1299.9999999999918,-1.6149068322981264,0.0,649,[0.89353846 0.00830769 0.07753846 0.00646154 0.01415385]
8,30,30,716,-3100.0,-4.783950617283951,0.0,495,[0.84047379 0.01058468 0.07106855 0.01008065 0.06779234]
6,40,40,717,-2716.666666666685,-3.370554177005813,0.0,651,[0.90976483 0.00562372 0.06237219 0.0043456  0.01789366]
8,45,45,718,-3434.66666666673,-3.8678678678679392,0.0,735,[0.92170516 0.00611413 0.04449728 0.00492527 0.02275815]
6,35,35,719,-1152.0000000000086,-1.586776859504144,0.0,575,[0.89728009 0.00462963 0.05729167 0.00405093 0.03674769]
8,35,35,720,-2469.25,-3.391826923076923,0.0,580,[0.92211704 0.0055938  0.05851979 0.00537866 0.00839071]
5,45,45,721,-1581.666666666642,-1.7871939736346236,0.0,729,[0.9030137  0.00575342 0.07917808 0.00794521 0.00410959]
9,40,40,722,-4167.333333333369,-5.151215492377466,0.0,657,[0.90645052 0.00726106 0.06129686 0.0070922  0.01789936]
6,45,45,723,-1700.9999999999845,-1.9198645598193957,0.0,728,[0.91472337 0.00777321 0.06973022 0.00777321 0.        ]
8,25,25,724,-1691.999999999982,-2.978873239436588,0.0,431,[0.9212963  0.00318287 0.04658565 0.00144676 0.02748843]
9,35,35,725,-2793.6666666666774,-3.832190214906279,0.0,577,[0.91868512 0.00653595 0.06189927 0.00749712 0.00538255]
5,25,25,726,-1170.1666666666683,-2.0710914454277316,0.0,412,[0.94673123 0.00242131 0.04842615 0.00242131 0.        ]
7,35,35,727,-2986.3333333333644,-4.1077487391105425,0.0,577,[0.87913989 0.00865052 0.09095403 0.00840336 0.0128522 ]
5,45,45,728,-1520.8333333333228,-1.7184557438794608,0.0,729,[0.92191781 0.00712329 0.05452055 0.00712329 0.00931507]
8,25,25,729,-1975.9999999999643,-3.478873239436557,0.0,415,[0.88221154 0.00871394 0.07512019 0.00811298 0.02584135]
7,40,40,730,-2055.166666666628,-2.5466749277157716,0.0,648,[0.89632401 0.00902487 0.06141316 0.00836452 0.02487343]
9,35,35,731,-2552.8333333333494,-3.5018289894833323,0.0,577,[0.90349865 0.00807382 0.06343714 0.00788158 0.0171088 ]
6,25,25,732,-1282.6666666666654,-2.266195524146052,0.0,415,[0.93229167 0.00641026 0.04407051 0.00480769 0.01241987]
6,25,25,733,-1074.666666666671,-1.8987043580683234,0.0,415,[0.91786859 0.00641026 0.06009615 0.00560897 0.01001603]
9,45,45,734,-3792.3333333334117,-4.2658417697788655,0.0,733,[0.86981532 0.01120194 0.08749622 0.01120194 0.02028459]
7,35,35,735,-1974.8333333333003,-2.7164144887665755,0.0,577,[0.87246663 0.00790905 0.05116164 0.0081562  0.06030648]
6,45,45,736,-1951.9999999999588,-2.2031602708803146,0.0,731,[0.90346084 0.0068306  0.06580146 0.00591985 0.01798725]
10,25,25,737,-2134.9999999999613,-3.7456140350876517,0.0,419,[0.89547619 0.0097619  0.07190476 0.0097619  0.01309524]
8,35,35,738,-2227.1666666666574,-3.059294871794859,0.0,580,[0.92448365 0.00753012 0.04582616 0.00839071 0.01376936]
7,25,25,739,-1319.6666666666645,-2.327454438565546,0.0,427,[0.94392523 0.00433912 0.04405874 0.00534045 0.00233645]
9,25,25,740,-1532.6666666666351,-2.693614528412364,0.0,417,[0.89712919 0.00930356 0.07974482 0.00611377 0.00770867]
8,35,35,741,-2275.5833333333194,-3.125801282051263,0.0,580,[0.95116179 0.00580895 0.0376506  0.00537866 0.        ]
9,45,45,742,-2829.000000000058,-3.182227221597366,0.0,737,[0.90951521 0.00572117 0.07196628 0.00511894 0.00767841]
6,45,45,743,-2490.750000000003,-2.8112302483070013,0.0,728,[0.92775492 0.00663009 0.0482396  0.00594422 0.01143118]
